LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,LBP_9,LBP_10,LBP_11,LBP_12,LBP_13,LBP_14,LBP_15,LBP_16,LBP_17
0.449195,0.021903,0.013253,0.012254,0.010138,0.011533,0.014997,0.024623,0.039156,0.028134,0.018322,0.01523,0.012021,0.010417,0.01123,0.018485,0.016439,0.27267
0.494618,0.025022,0.015495,0.013563,0.009831,0.010525,0.012435,0.016905,0.021745,0.014214,0.009288,0.008724,0.008268,0.011372,0.012196,0.020833,0.022287,0.272678
0.449697,0.018415,0.013233,0.019731,0.017618,0.017857,0.024593,0.033323,0.046437,0.03691,0.023637,0.021405,0.017259,0.018136,0.010284,0.015625,0.016821,0.199019
0.458862,0.024561,0.015283,0.013013,0.010205,0.011133,0.013086,0.020898,0.030225,0.019678,0.011523,0.010352,0.008521,0.013037,0.014478,0.021045,0.019775,0.284326
0.507155,0.020066,0.014062,0.014288,0.010631,0.01255,0.01501,0.022639,0.032706,0.024332,0.017493,0.01431,0.012121,0.012347,0.01106,0.016229,0.015507,0.227496
0.422195,0.027664,0.01631,0.00996,0.00795,0.007744,0.009343,0.014003,0.019486,0.014369,0.009594,0.008361,0.008475,0.011399,0.01526,0.02595,0.026567,0.345372
0.496614,0.028448,0.01078,0.006149,0.00323,0.004125,0.003775,0.007083,0.011753,0.006421,0.003697,0.003035,0.004047,0.005643,0.011986,0.026775,0.028993,0.337446
0.491139,0.025128,0.011601,0.008947,0.006036,0.007791,0.009375,0.01143,0.018536,0.010873,0.006935,0.006036,0.006507,0.007491,0.011259,0.02256,0.023587,0.314769
0.513026,0.026699,0.010136,0.006944,0.004011,0.004745,0.00509,0.007937,0.011128,0.007721,0.005564,0.004313,0.004227,0.008411,0.011215,0.025707,0.023378,0.319746
0.532786,0.024536,0.010393,0.009321,0.005071,0.006321,0.007036,0.01025,0.01425,0.009929,0.006964,0.005,0.004893,0.007571,0.011357,0.020857,0.020214,0.29325
0.483026,0.023377,0.012763,0.011579,0.007719,0.007851,0.008816,0.01386,0.018684,0.012061,0.00943,0.007105,0.008202,0.010307,0.014035,0.024386,0.023509,0.303289
0.490341,0.025871,0.012424,0.009545,0.005909,0.007727,0.007576,0.011894,0.013902,0.009621,0.007159,0.005227,0.005758,0.00822,0.012879,0.022235,0.024129,0.319583
0.543993,0.024479,0.009618,0.005069,0.004063,0.003368,0.004479,0.006458,0.009618,0.006424,0.003993,0.004132,0.00375,0.00566,0.009444,0.024618,0.022361,0.308472
0.496704,0.024921,0.013515,0.011043,0.007021,0.007417,0.008373,0.011603,0.018064,0.011801,0.007549,0.006791,0.007516,0.009032,0.013219,0.022482,0.024558,0.298391
0.477752,0.026726,0.014832,0.009841,0.005271,0.006623,0.005457,0.010168,0.013806,0.008349,0.00569,0.005784,0.00569,0.010215,0.014739,0.028358,0.028032,0.322668
0.467281,0.025062,0.011975,0.010595,0.00641,0.007746,0.008413,0.013043,0.017762,0.011574,0.007523,0.005921,0.006277,0.008859,0.011262,0.024306,0.023193,0.332799
0.475176,0.024513,0.011609,0.010779,0.007152,0.010209,0.010365,0.013422,0.021922,0.014044,0.009225,0.008966,0.007722,0.012697,0.014407,0.022854,0.021403,0.303534
0.502702,0.018092,0.012845,0.014489,0.013471,0.015077,0.019463,0.028313,0.043977,0.027021,0.01633,0.011122,0.009908,0.012336,0.010378,0.016134,0.014059,0.214286
0.528385,0.017708,0.011458,0.01454,0.012283,0.014627,0.016884,0.025,0.035937,0.023611,0.014453,0.01059,0.009592,0.011589,0.011024,0.015755,0.017188,0.209375
0.486994,0.020818,0.012914,0.01682,0.012546,0.01443,0.015487,0.020175,0.030377,0.021415,0.014292,0.011857,0.01227,0.014752,0.01273,0.019853,0.020267,0.242004
0.555823,0.022016,0.009158,0.007631,0.005113,0.006525,0.00641,0.009348,0.013393,0.01034,0.007364,0.006334,0.00496,0.009539,0.011142,0.022054,0.019765,0.273085
0.477752,0.026726,0.014832,0.009841,0.005271,0.006623,0.005457,0.010168,0.013806,0.008349,0.00569,0.005784,0.00569,0.010215,0.014739,0.028358,0.028032,0.322668
0.464809,0.025676,0.012894,0.010529,0.008164,0.010304,0.010923,0.015822,0.027252,0.015878,0.010642,0.009797,0.007151,0.009178,0.011768,0.022016,0.021847,0.305349
0.467281,0.025062,0.011975,0.010595,0.00641,0.007746,0.008413,0.013043,0.017762,0.011574,0.007523,0.005921,0.006277,0.008859,0.011262,0.024306,0.023193,0.332799
0.537162,0.020946,0.012796,0.011867,0.00984,0.010008,0.009924,0.014316,0.021073,0.013049,0.008868,0.007855,0.006419,0.010262,0.010853,0.01875,0.018961,0.257052
0.502702,0.018092,0.012845,0.014489,0.013471,0.015077,0.019463,0.028313,0.043977,0.027021,0.01633,0.011122,0.009908,0.012336,0.010378,0.016134,0.014059,0.214286
0.46871,0.023853,0.015467,0.017563,0.011392,0.010364,0.011116,0.019976,0.036036,0.019106,0.012144,0.011116,0.010483,0.021638,0.014794,0.020886,0.027571,0.247785
0.479087,0.02246,0.016151,0.018849,0.010952,0.010873,0.01369,0.020595,0.036071,0.020714,0.014325,0.010437,0.011111,0.02,0.014643,0.021746,0.023056,0.235238
0.569468,0.020102,0.011741,0.014388,0.009964,0.00857,0.008222,0.012019,0.017802,0.010835,0.007421,0.007664,0.00749,0.01188,0.011845,0.021739,0.019788,0.229062
0.497926,0.020698,0.015918,0.013438,0.010913,0.009605,0.011409,0.016955,0.029582,0.015602,0.010011,0.010146,0.010868,0.013844,0.011454,0.021239,0.022592,0.257801
0.577897,0.022381,0.010913,0.011429,0.007897,0.007738,0.007143,0.011032,0.015,0.010159,0.006151,0.005238,0.006825,0.010159,0.011349,0.021032,0.022579,0.235079
0.405577,0.030529,0.018029,0.015144,0.008606,0.009279,0.011731,0.017163,0.027404,0.014519,0.009471,0.007452,0.008798,0.01625,0.015337,0.028798,0.032356,0.323558
0.608659,0.020475,0.009798,0.010384,0.005046,0.00472,0.005241,0.010091,0.015658,0.008724,0.004883,0.004492,0.003646,0.007487,0.010417,0.019206,0.022982,0.228092
0.474084,0.029472,0.014009,0.008998,0.007812,0.008028,0.006196,0.010183,0.019127,0.009375,0.006843,0.007058,0.005873,0.0132,0.01417,0.026455,0.032651,0.306466
0.688291,0.016603,0.008803,0.006154,0.00391,0.004679,0.006132,0.010214,0.015406,0.007692,0.004786,0.003333,0.003568,0.006346,0.00735,0.01515,0.01641,0.175171
0.474397,0.019737,0.011842,0.022368,0.016612,0.016667,0.017325,0.027357,0.047039,0.024945,0.01716,0.014967,0.01239,0.019846,0.012555,0.021162,0.021711,0.201919
0.578888,0.023655,0.01175,0.01148,0.0046,0.004831,0.005179,0.007382,0.012059,0.007421,0.005605,0.004677,0.005179,0.012098,0.013142,0.021104,0.026361,0.244589
0.309643,0.041036,0.018786,0.010857,0.005929,0.005536,0.006107,0.009393,0.016107,0.008286,0.004393,0.004571,0.005679,0.011214,0.019214,0.037679,0.039036,0.446536
0.336875,0.039097,0.01559,0.010278,0.005764,0.006076,0.006111,0.009757,0.014653,0.007222,0.005521,0.004687,0.005243,0.009514,0.01441,0.036979,0.033611,0.438611
0.457146,0.031962,0.012019,0.007152,0.004155,0.003917,0.003799,0.007241,0.01104,0.006321,0.003917,0.00365,0.004452,0.008013,0.013147,0.029054,0.029321,0.363693
0.574181,0.020045,0.011646,0.014328,0.009176,0.009246,0.010411,0.013693,0.023786,0.013799,0.008787,0.008752,0.008682,0.012599,0.010764,0.018139,0.020363,0.211604
0.47678,0.023813,0.016456,0.01697,0.010364,0.011392,0.013054,0.022745,0.040309,0.01962,0.011709,0.010799,0.008782,0.015625,0.013252,0.020174,0.021163,0.246994
0.590163,0.022266,0.011222,0.007955,0.004084,0.005362,0.00554,0.012003,0.022692,0.008807,0.004155,0.00348,0.003587,0.006428,0.009375,0.019815,0.019993,0.243075
0.575951,0.018444,0.012432,0.015557,0.009918,0.009783,0.012738,0.018071,0.028227,0.016372,0.012466,0.010632,0.010054,0.014674,0.010054,0.017221,0.017052,0.190353
0.579135,0.020192,0.013718,0.012212,0.007821,0.008109,0.007917,0.011603,0.018494,0.012019,0.007821,0.006635,0.005737,0.010705,0.011378,0.020224,0.020673,0.225609
0.539444,0.021888,0.012658,0.016614,0.009004,0.008929,0.010586,0.016237,0.026296,0.015936,0.009531,0.008137,0.007309,0.015634,0.012734,0.019816,0.022529,0.226718
0.369076,0.029297,0.014648,0.01556,0.009635,0.010286,0.011784,0.023568,0.036654,0.020117,0.01263,0.009505,0.009115,0.013932,0.016146,0.026953,0.027018,0.344076
0.409219,0.023853,0.014795,0.015801,0.008353,0.009662,0.014191,0.036634,0.046699,0.023551,0.011876,0.010165,0.008857,0.014291,0.014291,0.024859,0.024557,0.288345
0.477322,0.02105,0.01237,0.008572,0.006076,0.008355,0.008464,0.028429,0.03852,0.025825,0.009006,0.006944,0.004123,0.010634,0.010525,0.022352,0.021159,0.280273
0.395536,0.020635,0.012698,0.013988,0.010813,0.01369,0.018948,0.036012,0.060218,0.031448,0.015476,0.012004,0.010615,0.011012,0.011508,0.022321,0.018849,0.284226
0.369076,0.029297,0.014648,0.01556,0.009635,0.010286,0.011784,0.023568,0.036654,0.020117,0.01263,0.009505,0.009115,0.013932,0.016146,0.026953,0.027018,0.344076
0.289117,0.026151,0.015224,0.018357,0.013695,0.020032,0.019595,0.04174,0.073718,0.038826,0.02331,0.016754,0.017701,0.018939,0.016244,0.028846,0.026734,0.295017
0.395536,0.020635,0.012698,0.013988,0.010813,0.01369,0.018948,0.036012,0.060218,0.031448,0.015476,0.012004,0.010615,0.011012,0.011508,0.022321,0.018849,0.284226
0.30459,0.030469,0.017578,0.017578,0.012207,0.013086,0.017578,0.026953,0.035156,0.024219,0.016797,0.01377,0.01123,0.016895,0.01875,0.02832,0.028125,0.366699
0.410889,0.021217,0.013665,0.013449,0.008703,0.010429,0.014025,0.032077,0.052934,0.0292,0.013521,0.009781,0.006041,0.010788,0.011507,0.025604,0.020642,0.295526
0.297565,0.031202,0.019406,0.015887,0.012747,0.012081,0.016267,0.026922,0.041096,0.023497,0.012652,0.011986,0.010274,0.016743,0.015411,0.032344,0.028634,0.375285
0.51727,0.02169,0.007299,0.005037,0.002775,0.002981,0.003084,0.006476,0.008224,0.005037,0.002775,0.002673,0.002981,0.00442,0.007401,0.021896,0.025288,0.352693
0.452669,0.012435,0.00957,0.017057,0.017969,0.022982,0.030534,0.070964,0.091276,0.049479,0.023633,0.016602,0.00931,0.011458,0.005469,0.009701,0.006771,0.142122
0.460457,0.011779,0.011418,0.018389,0.019651,0.023377,0.032873,0.055889,0.080168,0.043389,0.023438,0.01887,0.013642,0.01226,0.00631,0.012019,0.011238,0.144832
0.410547,0.024219,0.016094,0.019453,0.012422,0.015078,0.018594,0.039688,0.064687,0.030547,0.014766,0.011094,0.009297,0.013516,0.009844,0.024688,0.016719,0.24875
0.508544,0.016851,0.0125,0.017959,0.007595,0.011076,0.010601,0.043987,0.050237,0.026978,0.010918,0.007753,0.006725,0.010285,0.011392,0.017405,0.014873,0.21432
0.413048,0.018586,0.013761,0.02023,0.018202,0.017818,0.02489,0.045504,0.067379,0.036458,0.020943,0.01568,0.01261,0.015186,0.009704,0.019079,0.017654,0.213268
0.40239,0.018199,0.008548,0.014063,0.010478,0.012684,0.01921,0.061121,0.109007,0.048989,0.017371,0.011857,0.00818,0.012408,0.009926,0.021691,0.015349,0.198529
0.528188,0.015127,0.011806,0.016308,0.009814,0.012249,0.016012,0.032246,0.050841,0.025605,0.014463,0.011659,0.008633,0.010109,0.009519,0.01461,0.014315,0.198495
0.263067,0.031067,0.016813,0.021473,0.014894,0.015077,0.018001,0.035545,0.05318,0.033717,0.016356,0.014254,0.011787,0.017544,0.016173,0.025402,0.028692,0.366959
0.436959,0.025298,0.01204,0.01062,0.007238,0.010011,0.008929,0.019548,0.029085,0.01691,0.008387,0.008861,0.007576,0.009537,0.013122,0.024892,0.02381,0.327178
0.357196,0.033142,0.021419,0.018209,0.012095,0.012196,0.012162,0.019493,0.033074,0.01652,0.010642,0.010642,0.010473,0.018243,0.018277,0.027061,0.029966,0.339189
0.398438,0.034488,0.015097,0.008939,0.004012,0.006299,0.006898,0.010593,0.017525,0.010628,0.00549,0.004821,0.004892,0.009044,0.012071,0.033045,0.031743,0.38598
0.472711,0.032211,0.014999,0.008359,0.005475,0.004136,0.005038,0.006611,0.011679,0.006466,0.005068,0.004514,0.006,0.013106,0.013979,0.028804,0.031308,0.329538
0.414164,0.02638,0.015799,0.022032,0.016118,0.016987,0.019973,0.029192,0.037106,0.02809,0.019567,0.0149,0.012929,0.017132,0.012494,0.019423,0.021887,0.255827
0.468811,0.022924,0.016578,0.016332,0.011585,0.013061,0.016504,0.020587,0.030106,0.024178,0.01771,0.014143,0.013602,0.01766,0.013036,0.016898,0.019185,0.247098
0.399638,0.03163,0.018116,0.016123,0.010072,0.010942,0.010797,0.013514,0.017283,0.011196,0.009384,0.007971,0.007609,0.013587,0.013768,0.030181,0.032717,0.345471
0.432446,0.023558,0.015549,0.017372,0.013174,0.015024,0.01983,0.029275,0.040682,0.027922,0.016488,0.013561,0.012207,0.015245,0.012152,0.019637,0.02215,0.253728
0.451914,0.028378,0.01616,0.014133,0.006813,0.007686,0.008333,0.011937,0.015315,0.010839,0.008024,0.007658,0.008615,0.01692,0.015625,0.026886,0.033193,0.311571
0.454133,0.029832,0.011876,0.008002,0.005292,0.006426,0.0063,0.009577,0.016035,0.009356,0.006143,0.004788,0.005198,0.008537,0.011876,0.027659,0.029486,0.349483
0.316319,0.023646,0.017396,0.027986,0.024931,0.028542,0.034965,0.042882,0.056771,0.042986,0.031424,0.026111,0.022049,0.022153,0.012569,0.016181,0.021111,0.231979
0.470158,0.030751,0.010153,0.006074,0.003932,0.003052,0.004372,0.007629,0.009712,0.006045,0.003404,0.003052,0.002934,0.004636,0.010593,0.028169,0.029959,0.365376
0.394073,0.03669,0.011988,0.006358,0.003511,0.004302,0.004808,0.006895,0.010849,0.005725,0.004523,0.003669,0.004523,0.008192,0.013443,0.031946,0.034223,0.414284
0.473984,0.02697,0.012531,0.009698,0.007266,0.007266,0.008775,0.011515,0.015394,0.011299,0.008067,0.007482,0.00705,0.008805,0.0129,0.026693,0.030111,0.314193
0.3187,0.028533,0.019767,0.023933,0.020267,0.024767,0.032233,0.0413,0.0486,0.033767,0.0231,0.0205,0.0136,0.017733,0.0123,0.021967,0.0233,0.275633
0.474044,0.029049,0.013229,0.008451,0.005106,0.005106,0.005785,0.010538,0.018084,0.009909,0.006313,0.005156,0.004879,0.009935,0.011846,0.028169,0.027465,0.326937
0.410223,0.025463,0.01783,0.018769,0.01708,0.019582,0.021396,0.026308,0.036005,0.025119,0.020552,0.016829,0.014202,0.016735,0.014233,0.017924,0.020896,0.260855
0.511643,0.026251,0.0124,0.00831,0.005129,0.005519,0.007077,0.011189,0.021836,0.009306,0.006514,0.005107,0.004631,0.008851,0.011924,0.02452,0.023697,0.296096
0.402484,0.026002,0.016947,0.019631,0.013542,0.014183,0.015825,0.020353,0.02492,0.020112,0.016987,0.018029,0.016306,0.020673,0.013982,0.02472,0.028806,0.286498
0.366871,0.03868,0.014729,0.00861,0.004065,0.003365,0.004196,0.006206,0.007823,0.00507,0.004633,0.004196,0.004983,0.012937,0.015297,0.036976,0.047115,0.414248
0.429844,0.023964,0.015881,0.018386,0.015653,0.014543,0.018926,0.031051,0.048583,0.027123,0.017731,0.015113,0.013234,0.017418,0.01164,0.018756,0.017333,0.24482
0.331966,0.014837,0.012235,0.01918,0.022928,0.033003,0.04731,0.074669,0.091843,0.065785,0.036001,0.026631,0.016953,0.014021,0.007143,0.008488,0.009193,0.167813
0.357746,0.022004,0.016216,0.024258,0.022711,0.027638,0.033006,0.040916,0.058126,0.04001,0.028566,0.025141,0.019441,0.022093,0.012747,0.017055,0.020325,0.212001
